cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,channel
UgxaC2PZmKDeyzx7jK94AaABAg,"Que pareja infernal,   MALO y M-ALITO   gobernando el país.",hace 4 horas,Carl-XM Mendez,UCeh3Ky_ObV-gXhF6jIIOv1w,0,https://yt3.ggpht.com/ytc/AMLnZu8nTkrUPadO9UkflTBFGDpNgy7s1W7dzuuDgA=s176-c-k-c0x00ffffff-no-rj,false,false,1666375444,1
Ugyu9dJ4JZkUtQjpLxV4AaABAg,En realidad nos sorprende  ?,hace 20 horas,Jaime Maldonado,UCNKZwXutfp1POfM-C5hynxA,0,https://yt3.ggpht.com/ytc/AMLnZu8LSVKNRZEjP9PVQGF3Uykl9zMTWFrtcHDwWw=s176-c-k-c0x00ffffff-no-rj,false,false,1666317844,1
Ugx6i20aFX-8MwtNqsR4AaABAg,Mamadas de esta loca,hace 1 día,Cristian raul Pech gomez,UChngrEzvviCv52BAH1HVFsg,0,https://yt3.ggpht.com/ytc/AMLnZu_71Aj-6aHPZEajoQmPEPIGBsrbMJ0QLRI6OQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgwlUkYinzw7hfBFdXR4AaABAg,Yo. Creo. Que. Uno. Es. Más. Pendejo. Con. Tomar. En. Cuenta. Los. Comentarios. De. Estos. Tres. Pendejos. Con. Respeto.  Solamente. Para. La. Señora. Por. Yo. Todavía. Tengo. Madre. Y. Hermanas,hace 1 día,Hilario Hernandez,UCNqoTPvQQKiKoh1BhYTdiCA,0,https://yt3.ggpht.com/ytc/AMLnZu-7aSOoNrUGIek4WN2O-FILoVeBCLrIOYwoHO8uDnVsEYnpgEhjHG-6M5n4Vucd=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
Ugxivc3Wk-DhnCnNDpN4AaABAg,Yo. En. Mi. Opinion. Quien. Es. Ese. Pendejo. Doble. De. Trump porque. Antes. En. Los. Demás. Sexenios. Pasados. Porque. No. Salió. A. Ladrar. Porque. Le. Daban para. Sus. Cro quetas,hace 1 día,Hilario Hernandez,UCNqoTPvQQKiKoh1BhYTdiCA,0,https://yt3.ggpht.com/ytc/AMLnZu-7aSOoNrUGIek4WN2O-FILoVeBCLrIOYwoHO8uDnVsEYnpgEhjHG-6M5n4Vucd=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgzG1E9dbm5AD-EMiDt4AaABAg,Ocupa a Alito porque al AMLO ya se le va la onda 🤫,hace 1 día,Guadalupe Elizalde,UCsmXf6f-_SPmyL2NuhQgWIg,1,https://yt3.ggpht.com/ytc/AMLnZu-ClVjM9zvg2dFGRF-WPbiXL_9nAUWIyRobjA=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgxHNiN8iWzs4B0NFEx4AaABAg,Alito es un bandidazo,hace 1 día,Fernando Aguilar,UC4uVb-jNda95B1IrAT8iZcg,0,https://yt3.ggpht.com/ytc/AMLnZu8i2F1TzFnksYiJl_-BdY_llFdy2ftoPwBE=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgyOrjLPa3rMhy715qB4AaABAg,Monton de Pendej0s calumniando sin pruebas,hace 1 día,David Angeles,UC2_DtfSEZwPjIH8ksFReKIQ,0,https://yt3.ggpht.com/ytc/AMLnZu9vvNFasgeF0h9tltApsbyKVZWuidv17ZtLI5MbPQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
Ugx34XpEOJIZ1ux3YYF4AaABAg,"SEÑORA BEATRIZ PAGES, QUE GRAN MEXICANA ES USTED, MUY VALIENTE Y SE LE AGRADECE ENORMEMENTE TODO LO QUE INFORMA, ESTE ENGENDRO ES UN CHACAL, Y ALGUIEN EN LOS COMENTARIOS MUY ATINADAMENTE DIJO QUE ES UN SACO DE PUS, SUENA DE VERDAD TERRIBLE, PERO ES LA PURA VERDAD.
GRACIAS SEÑORA BEATRUZ",hace 1 día,mhillha,UCV-HLEutw5nlDoPkb4wGAbg,0,https://yt3.ggpht.com/ytc/AMLnZu_ZWOz62Zujx4Y-S0pg1hct5X2NJy8RBeZdtA=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
Ugzbtm5Gu2T6K0LuYWd4AaABAg,"AMLO Y AMLITO, MALDITO",hace 1 día,otto franco,UCLMnfMnkUqPUSSSTbnho0zQ,0,https://yt3.ggpht.com/ytc/AMLnZu-WoZVe-UddA4HjMUio7O4vnrFIZs6dHO2MAiF580xiPcCax_qwaB3V8dUVixzJ=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgwjkWPT9DAXCjSiwwd4AaABAg,"Así va a ser sr alasraky.
Amamos profundamente a México y  no le vamos a dar un solo voto a NARCOMORENA, es tiempo de sacar la casta, TUVIMOS A UN HOMBRE VALIENTE, QUE ES DIGNO DE HONRAR LLAMADO GERMÁN MARTÍNEZ, QUE SIMBRÓ A MÉXICO CON SUS HERMOSAS Y SENTIDAS PALABRAS, IGUAL QUE A USTED DON CARLOS, Y  MORENA Y SUS SECUACES, SE LARGAN EN 2024, SOMOS MÁS LOS MEXICANOS QUE AMAMOS A NUESTRO QUERIDO MÉXICO.
UN LLAMADO A MEXICANOS HONRADOS, VALIENTES QUE ESTÉN EN LAS VOTACIONES EN JULIO Y DEMOSTREMOS PATRIOTISMO PURO Y AMOR POR NUSTROS HIJOS Y PARA HONRAR A TODOS NUESTROS FALLECIDOS EN LA PANDEMIA QUE ESTE INFELIZ DEJÓ MORIR.",hace 1 día (editado),mhillha,UCV-HLEutw5nlDoPkb4wGAbg,0,https://yt3.ggpht.com/ytc/AMLnZu_ZWOz62Zujx4Y-S0pg1hct5X2NJy8RBeZdtA=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
Ugy-syFg88Qu9hwXgc14AaABAg,El Saco de Pus es apreciado por todos los mexicanos,hace 1 día,Raul Mendoza Zaragoza,UCyMD3n6LgTitwXx0782JV4g,1,https://yt3.ggpht.com/ytc/AMLnZu_tYHSlRDeCa487KHTFhQtCI9MbVufreVDUNZSHGg=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgwAjI46jP3w0lllKuB4AaABAg,Que siga Alito,hace 1 día,Raul Mendoza Zaragoza,UCyMD3n6LgTitwXx0782JV4g,1,https://yt3.ggpht.com/ytc/AMLnZu_tYHSlRDeCa487KHTFhQtCI9MbVufreVDUNZSHGg=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
Ugyj2U61OtIm52YqfTl4AaABAg,Aquí están muy nojaos,hace 1 día,Raul Mendoza Zaragoza,UCyMD3n6LgTitwXx0782JV4g,0,https://yt3.ggpht.com/ytc/AMLnZu_tYHSlRDeCa487KHTFhQtCI9MbVufreVDUNZSHGg=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgzJr9aiSHLEaOiypjd4AaABAg,Alazraki Fuiste muy exitoso en la campaña de Teams,hace 1 día,Raul Mendoza Zaragoza,UCyMD3n6LgTitwXx0782JV4g,0,https://yt3.ggpht.com/ytc/AMLnZu_tYHSlRDeCa487KHTFhQtCI9MbVufreVDUNZSHGg=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgxGzW2hTn6AyUbX4xV4AaABAg,El alacrán  se le ve muy desesperado,hace 1 día,Armida Loya,UCcEFPd7zbzmLIQ2IyEM2t1w,0,https://yt3.ggpht.com/ytc/AMLnZu9pL2TaqYXfxs-mxKRAAq2YTN9EHMEH4KeT3w=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
Ugz6i19BMrtc4vhE4sN4AaABAg,Van aser la Risa payasitos 🥳 del Pueblo Mexicano por que la mayoria del Pueblo Mexicano le dice Al PRESIDENTE 👍 NO ESTAS SOLO PRESIDENTE,hace 1 día,Sweet Love,UCABMjQDvvjVYyoCEiqn4JUQ,1,https://yt3.ggpht.com/ytc/AMLnZu9xqSXns_xS_K1cRh-1SwmHhDn2GXdRtYRQwQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
Ugzkrev7pDDOriByRFp4AaABAg,La Mayoria del Pueblo Mexicano le dice Al PRESIDENTE 👍 NO ESTAS SOLO PRESIDENTE,hace 1 día,Sweet Love,UCABMjQDvvjVYyoCEiqn4JUQ,0,https://yt3.ggpht.com/ytc/AMLnZu9xqSXns_xS_K1cRh-1SwmHhDn2GXdRtYRQwQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
UgwFT8in4SkUvl9SO1d4AaABAg,OH 😳 SI 😁 NO 🤔 Medigas 🤡 que hasian 🤡 OH 😳😳👉 y tu que dijistes payasita 🤡 ya te creyeron 🤡 Tonto es El que cree que El Pueblo es Tonto 🙂,hace 1 día,Sweet Love,UCABMjQDvvjVYyoCEiqn4JUQ,1,https://yt3.ggpht.com/ytc/AMLnZu9xqSXns_xS_K1cRh-1SwmHhDn2GXdRtYRQwQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
Ugznpeiri9qxsZjQppV4AaABAg,al alito lo único que le importa no los votos le importa el botox,hace 1 día,Claudia Maria Santibañez Romero,UCQgi9TTIidbtMa0q0m85Odw,1,https://yt3.ggpht.com/ytc/AMLnZu_1w9-AptO-axGYjio-SWZtWlS3HhzZQKZehykZy06IYaWfStn8xizt0D4oqGHa=s176-c-k-c0x00ffffff-no-rj,false,false,1666303444,1
